firstname,lastname,username,password,ou
John,Smith,,WsvzuP577+,TECH
Mary,Brown,,ZnxqsL168*,TECH
Jack,Wilson,,SovymD814+,TECH
Sue,Thomson,,LjmeuX741*,TECH
Bob,Robertson,,CofahB838+,TECH
Paul,Campbell,,EagghH429+,TECH
Joe,Stewart,,XgkesA759+,TECH
Barry,Anderson,,DpmezK505*,TECH
Matt,Macdonald,,KnqavM456*,TECH
Luke,Scott,,YcqxuK170+,TECH
John,Reid,,VjkigF261+,TECH
Mary,Murray,,ZxcwbU996*,TECH
Scott,Taylor,,GzzcqY528*,TECH
Arthur,Clark,,UojlwU499+,TECH
Frank,Mitchell,,GpdbhI328+,TECH
Carl,Ross,,EhzzlL734+,TECH
Craig,Walker,,KcbfoP124+,TECH
Collin,Paterson,,DrnyiN583+,HR
Dan,Kerr,,JurmcZ625*,HR
David,Duncan,,OetxhR333*,HR
Doug,Hunter,,KnjlfE463+,HR
Fynn,Bell,,JulfjS606+,HR
Gary,Grant,,OrfgiP633*,HR
Graham,Gibson,,OjqqsX326+,HR
Harrold,Gordon,,CkocoX103*,HR
Ian,Wallace,,RysyqK532+,TECH
Kevin,Reilly,,ViactK358+,TECH
Lee,Mcintyre,,SnwxzQ129+,TECH
Oscar,Christie,,GigulE942+,TECH
Oliver,Moore,,KburtN991+,TECH
Quentin,Shaw,,QlzfmE157+,TECH
Rod,Boyle,,EpkqtW706*,TECH
Sarah,McKay,,NdwpoL154+,HR
Tim,Stevenson,,JmkuxE721*,HR
Ulysses,Ward,,CpngdG497+,HR
Victor,Smith,,AwesqX710+,HR
Wendy,Watt,,OvcyzM652+,HR
Xena,Munro,,IhdfyB390+,HR
Yertle,Turtle,,UgwdfS433+,HR
Zoe,Hughes,,MwjoeH763+,HR
